Your search parameters are:
catalog=ANSS
start_time=1989/10/18,00:00:00
end_time=1989/10/25,00:00:00
minimum_magnitude=2.0
maximum_magnitude=10
event_type=E
DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1989/10/18 01:28:07.09,37.1117,-121.8468,2.42,2.39,Md,27,46,1,0.14,NC,10090823
1989/10/18 01:28:24.33,36.9770,-121.7115,11.23,3.22,Md,38,85,3,0.04,NC,10090824
1989/10/18 01:28:55.40,37.0478,-121.8505,4.96,2.15,Mx,13,114,4,0.23,NC,10090825
1989/10/18 01:29:20.38,36.9397,-121.6822,10.05,2.18,Md,15,80,2,0.04,NC,249614
1989/10/18 01:29:41.96,37.0438,-121.8040,4.01,2.93,Md,24,61,1,0.11,NC,10090826
1989/10/18 01:30:59.60,37.0613,-121.8992,12.15,3.20,ML,35,106,8,0.08,NC,10090828
1989/10/18 01:31:51.54,37.1403,-122.0035,13.45,2.33,Md,18,70,4,0.05,NC,10090829
1989/10/18 01:34:01.18,37.1385,-122.0060,10.66,2.07,Md,23,71,4,0.31,NC,249659
1989/10/18 01:34:46.08,37.0688,-121.9270,15.44,3.00,ML,48,52,5,0.08,NC,10090319
1989/10/18 01:36:12.50,37.1320,-121.9678,11.15,2.78,Md,40,62,5,0.06,NC,10090320
1989/10/18 01:38:54.86,36.9872,-121.7080,5.87,2.54,Md,24,87,4,0.06,NC,10090323
1989/10/18 01:39:56.35,37.1050,-121.8552,4.46,2.27,Md,11,87,2,0.05,NC,249695
1989/10/18 01:42:38.18,37.1080,-121.8722,4.79,2.25,Md,20,82,3,0.09,NC,248561
1989/10/18 01:43:37.70,37.1537,-121.9583,9.06,3.10,Md,45,56,3,0.06,NC,10090324
1989/10/18 01:44:26.87,36.9870,-5.0990,10.00,2.80,Unk,6,,,1.09,NEI,198910184025
1989/10/18 01:44:39.89,37.0678,-121.8862,11.56,2.01,Md,34,59,6,0.20,NC,248563
1989/10/18 01:45:42.08,36.9937,-121.7572,14.71,2.03,Md,29,72,6,0.05,NC,10090363
1989/10/18 01:45:57.38,37.0287,-121.7915,10.91,3.50,ML,45,63,3,0.05,NC,10090325
1989/10/18 01:49:16.31,37.1628,-121.9712,7.31,2.83,Md,33,56,4,0.06,NC,248576
1989/10/18 01:50:31.01,37.1417,-121.9592,10.19,3.18,Md,34,58,4,0.06,NC,10090326
1989/10/18 01:51:00.48,36.9750,-121.7248,12.04,3.40,ML,35,81,4,0.05,NC,10090327
1989/10/18 01:54:33.60,37.0180,-121.7333,5.26,2.92,Md,38,79,8,0.06,NC,10090834
1989/10/18 01:55:38.76,36.9547,-121.6848,6.37,3.02,Md,15,116,1,0.06,NC,10090835
1989/10/18 01:58:15.86,36.9200,-121.6363,4.31,3.30,ML,42,104,3,0.11,NC,10090837
1989/10/18 01:58:30.28,37.0123,-121.8372,17.59,3.39,Md,30,78,2,0.08,NC,10090838
1989/10/18 01:58:58.37,37.1842,-121.9830,7.04,2.19,Md,12,75,2,0.02,NC,10090839
1989/10/18 01:59:25.66,37.1793,-121.9840,8.32,2.89,Md,35,94,3,0.06,NC,10090840
1989/10/18 02:00:11.06,37.0910,-121.8853,-0.49,2.58,Md,38,52,5,0.12,NC,10090841
1989/10/18 02:00:36.27,37.1110,-121.9145,7.28,2.87,Md,27,60,7,0.05,NC,10090842
1989/10/18 02:02:35.98,36.9495,-121.6825,6.26,2.42,Md,17,93,1,0.07,NC,10090845
1989/10/18 02:04:37.19,37.1090,-121.9188,7.46,2.47,Md,30,51,7,0.08,NC,10090847
1989/10/18 02:05:38.79,37.1153,-121.9237,7.50,2.77,Md,33,52,6,0.06,NC,10090848
1989/10/18 02:06:29.05,37.1413,-122.0147,0.88,2.07,Md,7,74,7,0.09,NC,251923
1989/10/18 02:07:08.47,36.9782,-121.6745,4.05,2.56,Md,27,102,3,0.08,NC,251714
1989/10/18 02:07:55.09,37.1467,-121.9605,-0.50,2.61,Md,16,59,6,0.08,NC,10090853
1989/10/18 02:08:53.93,36.9620,-121.7153,13.32,3.50,ML,45,74,2,0.07,NC,10090854
1989/10/18 02:10:01.39,37.0013,-121.7338,2.67,2.49,Md,16,105,9,0.04,NC,10090855
1989/10/18 02:10:29.23,37.1228,-122.0488,8.63,2.48,Md,14,93,5,0.07,NC,10090856
1989/10/18 02:12:33.34,37.0212,-121.7410,6.47,3.20,ML,48,76,7,0.09,NC,10090857
1989/10/18 02:13:38.30,37.1123,-121.8587,4.92,3.06,Md,40,48,2,0.07,NC,10090858
1989/10/18 02:14:59.37,36.9887,-121.7482,5.97,2.78,Md,29,74,6,0.11,NC,10090859
1989/10/18 02:15:49.21,37.0233,-121.7408,-0.31,4.50,ML,32,85,7,0.07,NC,10090144
1989/10/18 02:17:25.41,37.1312,-121.9690,10.36,3.31,Md,31,104,5,0.05,NC,10090860
1989/10/18 02:18:32.90,37.1250,-121.9230,6.21,2.98,Md,41,53,5,0.06,NC,10090861
1989/10/18 02:19:28.16,37.1717,-121.9902,7.19,2.33,Md,15,124,3,0.03,NC,10090862
1989/10/18 02:21:09.94,37.1022,-121.8262,3.21,3.19,Md,18,80,1,0.07,NC,251705
1989/10/18 02:26:05.74,37.0385,-121.7745,1.93,4.20,ML,38,91,9,0.07,NC,10090186
1989/10/18 02:28:06.46,37.0375,-121.7668,2.74,2.68,Md,26,118,4,0.07,NC,251710
1989/10/18 02:29:00.06,37.1895,-121.8883,17.62,2.29,Md,10,157,9,0.13,NC,252867
1989/10/18 02:30:05.32,37.1347,-121.9917,13.41,2.35,Md,28,68,5,0.06,NC,10090343
1989/10/18 02:30:29.51,37.1783,-121.9985,8.55,3.30,ML,47,49,3,0.06,NC,10090364
1989/10/18 02:31:53.33,37.1058,-121.9780,16.84,2.41,Md,31,70,8,0.08,NC,252789
1989/10/18 02:33:18.87,37.0493,-121.7897,3.93,3.27,Md,25,63,2,0.08,NC,10090344
1989/10/18 02:34:03.96,37.0605,-121.8225,4.26,3.00,ML,32,62,2,0.07,NC,10090345
1989/10/18 02:36:01.92,37.1622,-121.9713,9.48,3.20,ML,46,56,4,0.07,NC,10090346
1989/10/18 02:37:19.08,37.1028,-121.8592,5.50,2.46,Md,21,111,6,0.05,NC,252793
1989/10/18 02:42:02.19,37.1118,-121.9202,7.71,2.56,Md,15,55,6,0.05,NC,252801
1989/10/18 02:43:19.89,37.0748,-121.8970,12.75,2.05,Md,11,97,7,0.02,NC,252803
